ID,Region/Country/Area,Year,Series,Value,Footnotes
2,Africa,2015,Life expectancy at birth for females (years),61.9,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2005,Population annual rate of increase (percent),1.7,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2005,Total fertility rate (children per women),3.2,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2005,"Infant mortality for both sexes (per 1,000 live births)",39.3,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2005,"Maternal mortality ratio (deaths per 100,000 population)",95,Excluding Sudan.
15,Northern Africa,2005,Life expectancy at birth for both sexes (years),67.9,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2005,Life expectancy at birth for males (years),66,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2005,Life expectancy at birth for females (years),69.9,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2010,Population annual rate of increase (percent),1.7,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2010,Total fertility rate (children per women),3.1,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2010,"Infant mortality for both sexes (per 1,000 live births)",33.3,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2010,"Maternal mortality ratio (deaths per 100,000 population)",82,Excluding Sudan.
15,Northern Africa,2010,Life expectancy at birth for both sexes (years),69.6,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2010,Life expectancy at birth for males (years),67.7,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2010,Life expectancy at birth for females (years),71.6,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2015,Population annual rate of increase (percent),1.9,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2015,Total fertility rate (children per women),3.3,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2015,"Infant mortality for both sexes (per 1,000 live births)",28.1,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2015,"Maternal mortality ratio (deaths per 100,000 population)",70,Excluding Sudan.
15,Northern Africa,2015,Life expectancy at birth for both sexes (years),71.1,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2015,Life expectancy at birth for males (years),69.4,Data refers to a 5-year period preceding the reference year.
15,Northern Africa,2015,Life expectancy at birth for females (years),72.8,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2005,Population annual rate of increase (percent),2.7,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2005,Total fertility rate (children per women),5.6,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2005,"Infant mortality for both sexes (per 1,000 live births)",87.3,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2005,"Maternal mortality ratio (deaths per 100,000 population)",717,Including Sudan.
202,Sub-Saharan Africa,2005,Life expectancy at birth for both sexes (years),50.7,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2005,Life expectancy at birth for males (years),49.3,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2005,Life expectancy at birth for females (years),52.1,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2010,Population annual rate of increase (percent),2.7,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2010,Total fertility rate (children per women),5.4,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2010,"Infant mortality for both sexes (per 1,000 live births)",73.7,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2010,"Maternal mortality ratio (deaths per 100,000 population)",624,Including Sudan.
202,Sub-Saharan Africa,2010,Life expectancy at birth for both sexes (years),54.3,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2010,Life expectancy at birth for males (years),52.9,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2010,Life expectancy at birth for females (years),55.7,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2015,Population annual rate of increase (percent),2.7,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2015,Total fertility rate (children per women),5.1,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2015,"Infant mortality for both sexes (per 1,000 live births)",62.1,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2015,"Maternal mortality ratio (deaths per 100,000 population)",546,Including Sudan.
202,Sub-Saharan Africa,2015,Life expectancy at birth for both sexes (years),57.9,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2015,Life expectancy at birth for males (years),56.2,Data refers to a 5-year period preceding the reference year.
202,Sub-Saharan Africa,2015,Life expectancy at birth for females (years),59.5,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2005,Population annual rate of increase (percent),2.8,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2005,Total fertility rate (children per women),5.8,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2005,"Infant mortality for both sexes (per 1,000 live births)",77.4,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2005,Life expectancy at birth for both sexes (years),52,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2005,Life expectancy at birth for males (years),50.4,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2005,Life expectancy at birth for females (years),53.5,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2010,Population annual rate of increase (percent),2.9,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2010,Total fertility rate (children per women),5.3,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2010,"Infant mortality for both sexes (per 1,000 live births)",62.8,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2010,Life expectancy at birth for both sexes (years),57,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2010,Life expectancy at birth for males (years),55.5,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2010,Life expectancy at birth for females (years),58.5,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2015,Population annual rate of increase (percent),2.8,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2015,Total fertility rate (children per women),4.9,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2015,"Infant mortality for both sexes (per 1,000 live births)",52.2,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2015,Life expectancy at birth for both sexes (years),61.5,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2015,Life expectancy at birth for males (years),59.5,Data refers to a 5-year period preceding the reference year.
14,Eastern Africa,2015,Life expectancy at birth for females (years),63.4,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2005,Population annual rate of increase (percent),3.1,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2005,Total fertility rate (children per women),6.4,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2005,"Infant mortality for both sexes (per 1,000 live births)",100.1,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2005,Life expectancy at birth for both sexes (years),50.8,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2005,Life expectancy at birth for males (years),49.3,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2005,Life expectancy at birth for females (years),52.2,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2010,Population annual rate of increase (percent),3.2,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2010,Total fertility rate (children per women),6.2,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2010,"Infant mortality for both sexes (per 1,000 live births)",84.6,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2010,Life expectancy at birth for both sexes (years),54.4,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2010,Life expectancy at birth for males (years),52.9,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2010,Life expectancy at birth for females (years),55.9,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2015,Population annual rate of increase (percent),3.1,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2015,Total fertility rate (children per women),5.9,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2015,"Infant mortality for both sexes (per 1,000 live births)",72.2,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2015,Life expectancy at birth for both sexes (years),57.4,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2015,Life expectancy at birth for males (years),55.8,Data refers to a 5-year period preceding the reference year.
17,Middle Africa,2015,Life expectancy at birth for females (years),59.1,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2005,Population annual rate of increase (percent),1.3,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2005,Total fertility rate (children per women),2.9,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2005,"Infant mortality for both sexes (per 1,000 live births)",62.4,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2005,Life expectancy at birth for both sexes (years),53.2,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2005,Life expectancy at birth for males (years),50.7,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2005,Life expectancy at birth for females (years),55.8,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2010,Population annual rate of increase (percent),1.1,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2010,Total fertility rate (children per women),2.7,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2010,"Infant mortality for both sexes (per 1,000 live births)",53.7,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2010,Life expectancy at birth for both sexes (years),53,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2010,Life expectancy at birth for males (years),50.6,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2010,Life expectancy at birth for females (years),55.4,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2015,Population annual rate of increase (percent),1.4,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2015,Total fertility rate (children per women),2.6,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2015,"Infant mortality for both sexes (per 1,000 live births)",38,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2015,Life expectancy at birth for both sexes (years),59.3,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2015,Life expectancy at birth for males (years),56,Data refers to a 5-year period preceding the reference year.
18,Southern Africa,2015,Life expectancy at birth for females (years),62.7,Data refers to a 5-year period preceding the reference year.
11,Western Africa,2005,Population annual rate of increase (percent),2.6,Data refers to a 5-year period preceding the reference year.
11,Western Africa,2005,Total fertility rate (children per women),6,Data refers to a 5-year period preceding the reference year.;Including Saint Helena.
11,Western Africa,2005,"Infant mortality for both sexes (per 1,000 live births)",95.7,Data refers to a 5-year period preceding the reference year.;Including Saint Helena.
11,Western Africa,2005,Life expectancy at birth for both sexes (years),49.3,Data refers to a 5-year period preceding the reference year.;Including Saint Helena.
11,Western Africa,2005,Life expectancy at birth for males (years),48.4,Data refers to a 5-year period preceding the reference year.;Including Saint Helena.
11,Western Africa,2005,Life expectancy at birth for females (years),50.2,Data refers to a 5-year period preceding the reference year.;Including Saint Helena.
11,Western Africa,2010,Population annual rate of increase (percent),2.7,Data refers to a 5-year period preceding the reference year.
11,Western Africa,2010,Total fertility rate (children per women),5.8,Data refers to a 5-year period preceding the reference year.;Including Saint Helena.
11,Western Africa,2010,"Infant mortality for both sexes (per 1,000 live births)",82.7,Data refers to a 5-year period preceding the reference year.;Including Saint Helena.
11,Western Africa,2010,Life expectancy at birth for both sexes (years),52.3,Data refers to a 5-year period preceding the reference year.;Including Saint Helena.
11,Western Africa,2010,Life expectancy at birth for males (years),51.5,Data refers to a 5-year period preceding the reference year.;Including Saint Helena.
11,Western Africa,2010,Life expectancy at birth for females (years),53.2,Data refers to a 5-year period preceding the reference year.;Including Saint Helena.
11,Western Africa,2015,Population annual rate of increase (percent),2.7,Data refers to a 5-year period preceding the reference year.
11,Western Africa,2015,Total fertility rate (children per women),5.5,Data refers to a 5-year period preceding the reference year.;Including Saint Helena.
11,Western Africa,2015,"Infant mortality for both sexes (per 1,000 live births)",70.5,Data refers to a 5-year period preceding the reference year.;Including Saint Helena.
11,Western Africa,2015,Life expectancy at birth for both sexes (years),54.7,Data refers to a 5-year period preceding the reference year.;Including Saint Helena.
11,Western Africa,2015,Life expectancy at birth for males (years),53.9,Data refers to a 5-year period preceding the reference year.;Including Saint Helena.
11,Western Africa,2015,Life expectancy at birth for females (years),55.6,Data refers to a 5-year period preceding the reference year.;Including Saint Helena.
21,Northern America,2005,Population annual rate of increase (percent),0.9,Data refers to a 5-year period preceding the reference year.
21,Northern America,2005,Total fertility rate (children per women),2,"Data refers to a 5-year period preceding the reference year.;Including Bermuda, Greenland, and Saint Pierre and Miquelon."
21,Northern America,2005,"Infant mortality for both sexes (per 1,000 live births)",6.9,"Data refers to a 5-year period preceding the reference year.;Including Bermuda, Greenland, and Saint Pierre and Miquelon."
21,Northern America,2005,Life expectancy at birth for both sexes (years),77.4,"Data refers to a 5-year period preceding the reference year.;Including Bermuda, Greenland, and Saint Pierre and Miquelon."
21,Northern America,2005,Life expectancy at birth for males (years),74.8,"Data refers to a 5-year period preceding the reference year.;Including Bermuda, Greenland, and Saint Pierre and Miquelon."
21,Northern America,2005,Life expectancy at birth for females (years),80,"Data refers to a 5-year period preceding the reference year.;Including Bermuda, Greenland, and Saint Pierre and Miquelon."
21,Northern America,2010,Population annual rate of increase (percent),0.9,Data refers to a 5-year period preceding the reference year.
21,Northern America,2010,Total fertility rate (children per women),2,"Data refers to a 5-year period preceding the reference year.;Including Bermuda, Greenland, and Saint Pierre and Miquelon."
21,Northern America,2010,"Infant mortality for both sexes (per 1,000 live births)",6.7,"Data refers to a 5-year period preceding the reference year.;Including Bermuda, Greenland, and Saint Pierre and Miquelon."
21,Northern America,2010,Life expectancy at birth for both sexes (years),78.4,"Data refers to a 5-year period preceding the reference year.;Including Bermuda, Greenland, and Saint Pierre and Miquelon."
21,Northern America,2010,Life expectancy at birth for males (years),75.9,"Data refers to a 5-year period preceding the reference year.;Including Bermuda, Greenland, and Saint Pierre and Miquelon."
21,Northern America,2010,Life expectancy at birth for females (years),80.9,"Data refers to a 5-year period preceding the reference year.;Including Bermuda, Greenland, and Saint Pierre and Miquelon."
21,Northern America,2015,Population annual rate of increase (percent),0.7,Data refers to a 5-year period preceding the reference year.
21,Northern America,2015,Total fertility rate (children per women),1.9,"Data refers to a 5-year period preceding the reference year.;Including Bermuda, Greenland, and Saint Pierre and Miquelon."
21,Northern America,2015,"Infant mortality for both sexes (per 1,000 live births)",5.9,"Data refers to a 5-year period preceding the reference year.;Including Bermuda, Greenland, and Saint Pierre and Miquelon."
21,Northern America,2015,Life expectancy at birth for both sexes (years),79.2,"Data refers to a 5-year period preceding the reference year.;Including Bermuda, Greenland, and Saint Pierre and Miquelon."
21,Northern America,2015,Life expectancy at birth for males (years),76.8,"Data refers to a 5-year period preceding the reference year.;Including Bermuda, Greenland, and Saint Pierre and Miquelon."
21,Northern America,2015,Life expectancy at birth for females (years),81.5,"Data refers to a 5-year period preceding the reference year.;Including Bermuda, Greenland, and Saint Pierre and Miquelon."
419,Latin America & the Caribbean,2005,Population annual rate of increase (percent),1.3,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2005,Total fertility rate (children per women),2.5,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2005,"Infant mortality for both sexes (per 1,000 live births)",25.4,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2005,"Maternal mortality ratio (deaths per 100,000 population)",88,
419,Latin America & the Caribbean,2005,Life expectancy at birth for both sexes (years),72.1,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2005,Life expectancy at birth for males (years),68.8,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2005,Life expectancy at birth for females (years),75.5,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2010,Population annual rate of increase (percent),1.2,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2010,Total fertility rate (children per women),2.3,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2010,"Infant mortality for both sexes (per 1,000 live births)",21.4,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2010,"Maternal mortality ratio (deaths per 100,000 population)",81,
419,Latin America & the Caribbean,2010,Life expectancy at birth for both sexes (years),73.4,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2010,Life expectancy at birth for males (years),70.1,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2010,Life expectancy at birth for females (years),76.8,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2015,Population annual rate of increase (percent),1.1,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2015,Total fertility rate (children per women),2.1,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2015,"Infant mortality for both sexes (per 1,000 live births)",18.7,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2015,"Maternal mortality ratio (deaths per 100,000 population)",67,
419,Latin America & the Caribbean,2015,Life expectancy at birth for both sexes (years),74.6,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2015,Life expectancy at birth for males (years),71.4,Data refers to a 5-year period preceding the reference year.
419,Latin America & the Caribbean,2015,Life expectancy at birth for females (years),78,Data refers to a 5-year period preceding the reference year.
29,Caribbean,2005,Population annual rate of increase (percent),0.9,Data refers to a 5-year period preceding the reference year.
29,Caribbean,2005,Total fertility rate (children per women),2.5,"Data refers to a 5-year period preceding the reference year.;Including Anguilla, Bonaire, St. Eustatius & Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands."
29,Caribbean,2005,"Infant mortality for both sexes (per 1,000 live births)",33,"Data refers to a 5-year period preceding the reference year.;Including Anguilla, Bonaire, St. Eustatius & Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands."
29,Caribbean,2005,Life expectancy at birth for both sexes (years),70,"Data refers to a 5-year period preceding the reference year.;Including Anguilla, Bonaire, St. Eustatius & Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands."
29,Caribbean,2005,Life expectancy at birth for males (years),67.4,"Data refers to a 5-year period preceding the reference year.;Including Anguilla, Bonaire, St. Eustatius & Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands."
29,Caribbean,2005,Life expectancy at birth for females (years),72.6,"Data refers to a 5-year period preceding the reference year.;Including Anguilla, Bonaire, St. Eustatius & Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands."
29,Caribbean,2010,Population annual rate of increase (percent),0.8,Data refers to a 5-year period preceding the reference year.
29,Caribbean,2010,Total fertility rate (children per women),2.4,"Data refers to a 5-year period preceding the reference year.;Including Anguilla, Bonaire, St. Eustatius & Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands."
29,Caribbean,2010,"Infant mortality for both sexes (per 1,000 live births)",30.4,"Data refers to a 5-year period preceding the reference year.;Including Anguilla, Bonaire, St. Eustatius & Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands."
29,Caribbean,2010,Life expectancy at birth for both sexes (years),71.3,"Data refers to a 5-year period preceding the reference year.;Including Anguilla, Bonaire, St. Eustatius & Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands."
29,Caribbean,2010,Life expectancy at birth for males (years),68.7,"Data refers to a 5-year period preceding the reference year.;Including Anguilla, Bonaire, St. Eustatius & Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands."
29,Caribbean,2010,Life expectancy at birth for females (years),74,"Data refers to a 5-year period preceding the reference year.;Including Anguilla, Bonaire, St. Eustatius & Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands."
29,Caribbean,2015,Population annual rate of increase (percent),0.7,Data refers to a 5-year period preceding the reference year.
29,Caribbean,2015,Total fertility rate (children per women),2.3,"Data refers to a 5-year period preceding the reference year.;Including Anguilla, Bonaire, St. Eustatius & Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands."
29,Caribbean,2015,"Infant mortality for both sexes (per 1,000 live births)",27,"Data refers to a 5-year period preceding the reference year.;Including Anguilla, Bonaire, St. Eustatius & Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands."
29,Caribbean,2015,Life expectancy at birth for both sexes (years),72.4,"Data refers to a 5-year period preceding the reference year.;Including Anguilla, Bonaire, St. Eustatius & Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands."
29,Caribbean,2015,Life expectancy at birth for males (years),69.8,"Data refers to a 5-year period preceding the reference year.;Including Anguilla, Bonaire, St. Eustatius & Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands."
29,Caribbean,2015,Life expectancy at birth for females (years),75.2,"Data refers to a 5-year period preceding the reference year.;Including Anguilla, Bonaire, St. Eustatius & Saba, British Virgin Islands, Cayman Islands, Dominica, Montserrat, Saint Kitts and Nevis, Sint Maarten (Dutch part) and Turks and Caicos Islands."
13,Central America,2005,Population annual rate of increase (percent),1.4,Data refers to a 5-year period preceding the reference year.
13,Central America,2005,Total fertility rate (children per women),2.8,Data refers to a 5-year period preceding the reference year.
13,Central America,2005,"Infant mortality for both sexes (per 1,000 live births)",23.3,Data refers to a 5-year period preceding the reference year.
13,Central America,2005,Life expectancy at birth for both sexes (years),73.9,Data refers to a 5-year period preceding the reference year.
13,Central America,2005,Life expectancy at birth for males (years),71.3,Data refers to a 5-year period preceding the reference year.
13,Central America,2005,Life expectancy at birth for females (years),76.5,Data refers to a 5-year period preceding the reference year.
13,Central America,2010,Population annual rate of increase (percent),1.6,Data refers to a 5-year period preceding the reference year.
13,Central America,2010,Total fertility rate (children per women),2.5,Data refers to a 5-year period preceding the reference year.
13,Central America,2010,"Infant mortality for both sexes (per 1,000 live births)",21.8,Data refers to a 5-year period preceding the reference year.
13,Central America,2010,Life expectancy at birth for both sexes (years),74.9,Data refers to a 5-year period preceding the reference year.
13,Central America,2010,Life expectancy at birth for males (years),72.3,Data refers to a 5-year period preceding the reference year.
13,Central America,2010,Life expectancy at birth for females (years),77.4,Data refers to a 5-year period preceding the reference year.
13,Central America,2015,Population annual rate of increase (percent),1.5,Data refers to a 5-year period preceding the reference year.
13,Central America,2015,Total fertility rate (children per women),2.4,Data refers to a 5-year period preceding the reference year.
13,Central America,2015,"Infant mortality for both sexes (per 1,000 live births)",20,Data refers to a 5-year period preceding the reference year.
13,Central America,2015,Life expectancy at birth for both sexes (years),75.8,Data refers to a 5-year period preceding the reference year.
13,Central America,2015,Life expectancy at birth for males (years),73.2,Data refers to a 5-year period preceding the reference year.
13,Central America,2015,Life expectancy at birth for females (years),78.4,Data refers to a 5-year period preceding the reference year.
5,South America,2005,Population annual rate of increase (percent),1.3,Data refers to a 5-year period preceding the reference year.
5,South America,2005,Total fertility rate (children per women),2.4,Data refers to a 5-year period preceding the reference year.;Including Falkland Islands (Malvinas).
